2	5.4	
2	5.4	
1.8	5.4	
2	5	
1.6	5.8	
2.2	5	
2.2	5.4	
2	5.4	
1.8	5.6	
2.2	5	
2	5.8	
1.6	5.8	
2.2	5.6	
1.6	5.2	
2.2	5.4	
2	5	
2.2	5.4	
2	5	
2	5.6	
2	5.4	
2	5.4	
1.8	5	
2.2	5.4	
2	4.8	
2.2	5.4	
2.2	5	
1.4	5.8	
1.8	5.8	
2.2	5.6	
1.6	5.8	
1.6	5.2	
2	5.8	
2.2	5	
2	4.8	
2	5.6	
2.2	5	
1.8	5.4	
1.8	5.8	
2.2	5.4	
1.8	5.2	
2	5.6	
2.2	5.4	
2	5	
1.6	5.4	
1.8	5.6	
2	5.6	
1.8	5.8	
1.8	4.8	
2.4	5.2	
2.4	5.4	
2.4	5.4	
2.4	5.2	
2.4	5.2	
2.4	5.4	
2.4	5.4	
2.4	5	
2.6	5.2	
2.4	5	
2.2	4.8	
2.4	5	
2.6	5.2	
2.2	5.8	
2.4	5.6	
2.4	5.6	
2.4	5.6	
2.2	5.8	
2.2	5.8	
2.4	5.6	
2.4	4.8	
2.4	4.8	
2.4	4.8	
2.4	4.8	
2.4	4.8	
$
2.10137	5.33151	
2.4	7	
2.4	7	
2.4	7	
2.4	7	
2.4	7	
2.4	7	
2.4	7	
2.4	7	
2.2	6.8	
2.2	7	
2.6	6.6	
2.2	6.6	
2.2	6.8	
2.4	6.8	
2.4	6.8	
2.6	6.6	
2.6	6.6	
2.4	6.8	
2.4	6.8	
2.4	6.8	
2.4	6.6	
2.4	6.8	
2.4	6.8	
2.2	6.6	
2.2	6.6	
2.6	6.6	
2.2	7	
2.4	6.6	
2.2	7	
2.4	6.6	
2.2	6.6	
2.2	6.6	
2	6.8	
2.6	6.6	
2.2	6.8	
2.2	6.6	
2.2	6.6	
2.4	6.6	
2.2	6.6	
2.6	6.6	
2.2	6.8	
2.6	6.6	
2.2	6.6	
2.2	6.8	
2.2	7	
2.6	6.6	
2	6.8	
2.4	6.8	
2.4	6.6	
2.6	6.6	
2.6	6.6	
2.4	6.8	
2.6	6.6	
2.4	6.6	
2.2	6.6	
2.2	6.6	
2.6	6.6	
2.2	6.8	
2.4	6.8	
2.2	6.6	
2.6	6.6	
2.2	7	
2.4	6.8	
1.8	6.8	
2	6.6	
1.8	6.8	
1.8	6.6	
2	6.6	
1.8	6.8	
2	6.6	
1.8	6.8	
2	6.6	
2	6.6	
1.8	6.8	
2	6.6	
1.8	6.4	
2	7	
1.8	6.4	
2	6.4	
1.8	6.4	
2	6.4	
2	7	
2	6.4	
2	7	
2.4	6.4	
2.4	6.4	
2.4	6.4	
2.4	6.4	
2.4	6.4	
2.4	6.4	
2.4	6.4	
2.4	6.4	
2.2	6.4	
2.4	6.4	
2.2	6.4	
2.2	6.4	
2.2	6.4	
2.2	6.4	
2.2	6.4	
2.4	6.4	
2.2	6.4	
2.2	6.4	
1.4	6.8	
2.6	6.4	
1.8	6.2	
2.6	6.4	
1.8	6.2	
2.6	6.4	
1.4	6.8	
2	6.2	
2.6	6.4	
2.6	6.4	
2.6	6.4	
2.6	6.4	
2.6	6.4	
1.8	6.2	
1	6.6	
2.6	6.4	
2.2	6.2	
2.2	6.2	
2.2	6.2	
2.4	6.2	
2.4	6.2	
2.4	6.2	
2.4	6.2	
2.4	6.2	
2.4	6.2	
2.4	6.2	
2.4	6.2	
2.2	6	
2	6	
2.2	6	
2.2	6	
2.2	6	
2.2	6	
2	6	
2	6	
2.2	6	
2.2	6	
2.6	6.2	
2.6	6.2	
2.6	6.2	
2.6	6.2	
2.6	6.2	
$
2.25694	6.5375	
2.2	7.6	
1.8	7.2	
2	7.4	
2	7.8	
1.8	7.4	
2.2	7.6	
2.2	7.2	
2.4	7.6	
2	7.2	
2.4	7.4	
2.4	7.4	
2.2	8	
2.2	8	
2	7.2	
2.2	7.4	
2	7.4	
2.2	7.8	
2	7.8	
2.4	7.6	
2.2	7.8	
2.2	7.4	
2.2	7.8	
2.4	7.4	
1.8	7.8	
2	8	
1.8	8	
2.2	7.2	
1.8	7.6	
1.8	7.2	
1.6	7.8	
1.8	8	
2.2	7.4	
2.2	7.6	
1.6	7.4	
1.8	7.8	
2	7.8	
1.8	7.8	
1.8	7.2	
2.2	7.4	
1.8	7.6	
2	7.2	
1.6	7.8	
1.6	7.4	
2.4	7.6	
2	8	
2.2	7.6	
2.2	7.6	
2	8	
2.2	7.4	
2	7.4	
2.2	7.2	
2.2	7.2	
